ID;xstart;ystart;xend;yend
3000;521468.4448;5284091.797;521064.5142;5284511.719
3001;521277.0386;5284764.16;521095.5811;5284984.375
3002;520662.7808;5284212.891;520333.7402;5284408.203
3003;520422.3022;5284509.277;520101.9897;5284833.008
3004;520213.3179;5284383.789;519731.2622;5284716.309
3005;520996.0938;5283554.688;520532.7759;5283978.027
3006;519681.5186;5283994.629;519420.6543;5284194.824
3007;520396.9727;5283763.672;519975.0977;5284154.785
3008;519264.5874;5284410.645;519040.2832;5284758.789
3009;519758.8501;5284205.566;519492.3706;5284424.316
3010;519915.5884;5283646.484;519743.2861;5283897.949
3011;521177.124;5282975.098;520711.6699;5283286.133
3012;520988.0981;5282695.801;520250.3052;5283166.504
3013;520145.9351;5283257.813;519632.019;5283564.453
3014;521736.8164;5282173.34;521385.498;5282438.965
3015;522020.6299;5282278.809;521718.75;5282584.473
3016;521814.0869;5282908.691;521460.2051;5283145.508
3017;521567.0166;5283270.508;521041.1377;5283673.828
3018;521484.2529;5282591.797;521134.9487;5282859.375
3019;522259.3384;5281923.828;521822.4487;5282161.133
3020;523505.0659;5283196.289;523063.1104;5283533.691
3021;523125.4883;5284029.785;522854.0649;5284393.066
3022;521648.1934;5284364.746;521496.6431;5284575.195
3023;522506.1646;5283641.602;522393.3716;5283908.691
3024;523284.3628;5282575.195;522970.3979;5282953.125
3026;522662.2314;5282217.773;522432.8613;5282436.035
3027;524015.3198;5283966.797;523791.8701;5284298.828
3028;524284.3628;5283875.488;524088.562;5284144.043
3029;525006.7749;5284793.457;524879.3945;5284964.844
3030;525689.3921;5285146.973;525462.5854;5285375.488
3031;523374.6948;5283938.477;523333.252;5284056.641
3032;524053.5278;5283568.359;523739.0137;5283931.641
3033;523693.6035;5283869.141;523486.145;5284163.574
3034;523060.3638;5285286.621;522882.0801;5285732.91
3035;523751.9531;5284920.898;523372.4365;5285282.715
3036;524395.3857;5284096.68;524005.3101;5284537.109
3037;523398.6206;5284239.258;523244.873;5284401.367
3038;524425.354;5283337.891;524146.0571;5283839.356
3039;524363.0981;5282928.223;524178.2227;5283157.715
3040;524087.4023;5282944.824;523971.6187;5283286.133
3041;524103.7598;5282720.703;523962.4023;5282899.902
3042;524651.3672;5282042.481;524090.0269;5282553.223
3043;524865.0513;5280674.805;523688.4766;5281532.715
3044;525105.7739;5281828.125;524877.3193;5282054.688
3045;525171.1426;5282974.609;524885.5591;5283513.184
3046;524737.915;5283373.535;524503.1738;5283780.273
3047;524753.54;5283816.406;524595.8252;5283995.606
3048;526503.2349;5279486.328;525947.3877;5280017.578
3049;526358.7036;5279367.188;526145.813;5279616.211
3050;525700.5615;5280006.348;525519.5312;5280183.594
3051;525447.998;5279942.871;525003.7231;5280299.805
3052;525295.4102;5279833.984;525037.8418;5279965.82
3053;524188.3545;5280721.68;523393.6768;5281324.219
3054;523141.6626;5281358.887;522452.6367;5282120.117
3055;519920.166;5284785.645;519549.9268;5285257.813
3056;520088.3179;5284894.043;519689.5142;5285290.039
3057;519476.1353;5285099.121;519377.6855;5285218.262
3058;520372.3145;5285036.133;520158.1421;5285256.348
3059;520407.2266;5285152.832;520345.0317;5285281.738
3060;519566.7114;5285276.856;519486.084;5285434.082
3061;520119.9341;5285210.938;519793.7012;5285439.453
3063;519508.2397;5284738.281;519155.0293;5285126.465
3064;525726.3794;5282652.832;525396.9116;5283103.027
3065;525471.1304;5283589.844;525403.0151;5283856.445
3066;526254.6387;5284710.449;525992.7979;5285022.949
3067;517865.8447;5287940.918;517669.0063;5288165.527
3068;517009.6436;5288023.926;516764.4653;5288273.926
3069;516562.9272;5288317.383;516362.9761;5288653.32
3070;516824.4019;5288450.684;516530.5176;5288780.762
3071;517424.1333;5287971.191;517175.2319;5288318.848
3073;517622.7417;5288411.133;517290.8325;5288623.535
3074;516877.7466;5288617.676;516765.564;5288967.773
3075;515989.1357;5288729.004;515616.7603;5288976.074
3076;515718.3228;5289262.695;515365.2954;5289653.32
3077;516155.0903;5288945.801;515733.8257;5289507.813
3078;516116.0278;5289413.574;515534.4238;5290036.133
3079;515278.2593;5289222.656;515101.4404;5289457.52
3080;515987.6099;5290220.703;515798.584;5290515.137
3081;515296.3867;5290217.285;515052.002;5290619.629
3082;512962.7686;5291937.988;512675.293;5292346.191
3083;513361.4502;5291356.934;512921.0205;5291668.945
3084;512867.4316;5291605.469;512503.6011;5292032.715
3085;513857.5439;5292347.168;513665.5273;5292742.676
3086;512602.7832;5292508.301;512510.437;5292581.543
3087;513020.6909;5292132.813;512945.7397;5292356.934
3088;513302.3071;5291628.906;513102.2339;5291794.434
3089;512897.7051;5291237.793;512700.9888;5291479.004
3090;513080.8105;5291171.875;512970.9473;5291294.922
3091;513638.4888;5291415.039;513309.8755;5291849.609
3092;514153.8696;5291966.797;513938.2935;5292145.508
3093;512691.1011;5290999.023;512570.1294;5291259.277
3094;512963.562;5290934.082;512836.2427;5291140.137
3095;512091.0645;5291353.516;511808.3496;5291711.426
3096;511854.3701;5291237.793;511595.0623;5291453.613
3097;511118.2556;5291121.094;510772.3694;5291375.977
3098;511202.0264;5291278.809;511081.8787;5291380.371
3099;510851.1353;5291014.648;510362.9456;5291189.453
3102;513889.7705;5292766.113;513580.5054;5293175.293
3103;513527.6489;5290581.543;513010.9253;5290809.57
3104;513999.5117;5290194.336;513835.6934;5290579.102
3105;514370.0562;5290435.059;514169.8608;5290635.742
3106;514370.5444;5290598.145;513996.8872;5290897.949
3107;513848.3887;5290932.617;513615.6006;5291132.813
3108;514342.5293;5291198.731;514066.3452;5291025.391
3109;514385.6201;5290857.91;514314.3311;5291014.16
3110;514763.4888;5290583.008;514540.8936;5290979.004
3111;514752.2583;5289885.742;514479.6143;5290173.828
3112;514815.3687;5289548.828;514595.8862;5289726.563
3113;514521.5454;5289665.527;514348.877;5289937.5
3114;514040.7104;5291458.496;513946.6553;5291580.566
3115;514931.5186;5291188.477;514694.9463;5291530.273
3116;515304.4434;5291328.125;515172.3633;5291643.066
3117;518132.8125;5289246.094;517944.458;5289537.598
3118;518125.1831;5289062.988;517963.4399;5289114.258
3120;518999.5117;5288795.41;518872.4365;5288861.328
3121;519032.6538;5288687.012;519019.7754;5288802.246
3122;518977.6001;5288908.691;518768.9209;5289106.445
3123;518974.1211;5289068.848;518881.6528;5289293.945
3126;519807.312;5288793.945;519506.5308;5289067.383
3127;519917.4194;5287963.867;519580.0171;5288350.098
3128;519494.9341;5288658.691;519284.4238;5288928.223
3129;520152.0386;5288673.828;519937.7441;5289098.145
3131;520341.7969;5287802.734;520156.4331;5287963.379
3132;520636.8408;5287768.555;520247.6196;5288094.238
3133;521054.8096;5287937.012;520852.7832;5287993.164
3134;520299.1333;5288474.121;520222.7173;5288609.375
3135;520739.7461;5287438.477;520595.3369;5287583.984
3136;521127.5635;5287436.523;520764.8315;5287863.281
3137;521589.1724;5287576.172;521467.1021;5287849.609
3138;521465.9424;5287478.027;521291.748;5287836.914
3139;521641.6626;5287770.02;521578.4912;5287949.707
