Iter 1: loss=0.042, precip=1.050, T=7.000
Iter 2: loss=0.036, precip=1.096, T=7.000
Iter 3: loss=0.031, precip=1.135, T=7.000
Iter 4: loss=0.028, precip=1.165, T=7.000
Iter 5: loss=0.025, precip=1.192, T=7.000
Iter 6: loss=0.023, precip=1.214, T=7.000
Iter 7: loss=0.022, precip=1.234, T=7.000
Iter 8: loss=0.021, precip=1.251, T=7.000
Iter 9: loss=0.019, precip=1.269, T=7.000
Iter 10: loss=0.018, precip=1.290, T=7.000
Iter 11: loss=0.016, precip=1.308, T=7.000
Iter 12: loss=0.014, precip=1.325, T=7.000
Iter 13: loss=0.013, precip=1.340, T=7.000
Iter 14: loss=0.012, precip=1.353, T=7.000
Iter 15: loss=0.011, precip=1.365, T=7.000
Iter 16: loss=0.010, precip=1.377, T=7.000
Iter 17: loss=0.010, precip=1.387, T=7.000
Iter 18: loss=0.009, precip=1.396, T=7.000
Iter 19: loss=0.008, precip=1.404, T=7.000
Iter 20: loss=0.008, precip=1.431, T=7.000
Iter 21: loss=0.006, precip=1.455, T=7.000
Iter 22: loss=0.003, precip=1.477, T=7.000
Iter 23: loss=0.002, precip=1.497, T=7.000
Iter 24: loss=0.000, precip=1.515, T=7.000
Iter 25: loss=0.001, precip=1.532, T=7.000
Iter 26: loss=0.002, precip=1.547, T=7.000
Iter 27: loss=0.003, precip=1.561, T=7.000
Iter 28: loss=0.004, precip=1.573, T=7.000
Iter 29: loss=0.005, precip=1.584, T=7.000
Iter 30: loss=0.006, precip=1.594, T=7.000
Iter 31: loss=0.006, precip=1.603, T=7.000
Iter 32: loss=0.006, precip=1.612, T=7.000
Iter 33: loss=0.007, precip=1.619, T=7.000
Iter 34: loss=0.007, precip=1.626, T=7.000
Iter 35: loss=0.008, precip=1.632, T=7.000
Iter 36: loss=0.008, precip=1.637, T=7.000
Iter 37: loss=0.008, precip=1.641, T=7.000
Iter 38: loss=0.009, precip=1.643, T=7.000
Iter 39: loss=0.009, precip=1.645, T=7.000
Iter 40: loss=0.009, precip=1.646, T=7.000
Iter 41: loss=0.009, precip=1.647, T=7.000
Iter 42: loss=0.009, precip=1.647, T=7.000
Iter 43: loss=0.009, precip=1.646, T=7.000
Iter 44: loss=0.009, precip=1.646, T=7.000
Iter 45: loss=0.009, precip=1.644, T=7.000
Iter 46: loss=0.009, precip=1.643, T=7.000
Iter 47: loss=0.009, precip=1.641, T=7.000
Iter 48: loss=0.009, precip=1.638, T=7.000
Iter 49: loss=0.009, precip=1.632, T=7.000
Iter 50: loss=0.008, precip=1.623, T=7.000
Iter 51: loss=0.008, precip=1.614, T=7.000
Iter 52: loss=0.007, precip=1.605, T=7.000
Iter 53: loss=0.007, precip=1.597, T=7.000
Iter 54: loss=0.006, precip=1.590, T=7.000
Iter 55: loss=0.006, precip=1.583, T=7.000
Iter 56: loss=0.005, precip=1.577, T=7.000
Iter 57: loss=0.005, precip=1.571, T=7.000
Iter 58: loss=0.005, precip=1.565, T=7.000
Iter 59: loss=0.004, precip=1.559, T=7.000
Iter 60: loss=0.004, precip=1.554, T=7.000
Iter 61: loss=0.004, precip=1.550, T=7.000
Iter 62: loss=0.003, precip=1.545, T=7.000
Iter 63: loss=0.003, precip=1.535, T=7.000
Iter 64: loss=0.002, precip=1.526, T=7.000
Iter 65: loss=0.002, precip=1.518, T=7.000
Iter 66: loss=0.001, precip=1.510, T=7.000
Iter 67: loss=0.001, precip=1.492, T=7.000
Iter 68: loss=0.001, precip=1.475, T=7.000
Iter 69: loss=0.002, precip=1.460, T=7.000
Iter 70: loss=0.003, precip=1.447, T=7.000
Iter 71: loss=0.004, precip=1.438, T=7.000
Iter 72: loss=0.005, precip=1.431, T=7.000
Iter 73: loss=0.006, precip=1.424, T=7.000
Iter 74: loss=0.006, precip=1.418, T=7.000
Iter 75: loss=0.007, precip=1.413, T=7.000
Iter 76: loss=0.007, precip=1.408, T=7.000
Iter 77: loss=0.007, precip=1.404, T=7.000
Iter 78: loss=0.008, precip=1.431, T=7.000
Iter 79: loss=0.006, precip=1.454, T=7.000
Iter 80: loss=0.003, precip=1.480, T=7.000
Iter 81: loss=0.001, precip=1.502, T=7.000
Iter 82: loss=0.000, precip=1.518, T=7.000
Iter 83: loss=0.001, precip=1.533, T=7.000
Iter 84: loss=0.002, precip=1.546, T=7.000
Iter 85: loss=0.003, precip=1.557, T=7.000
Iter 86: loss=0.004, precip=1.568, T=7.000
Iter 87: loss=0.005, precip=1.578, T=7.000
Iter 88: loss=0.005, precip=1.582, T=7.000
Iter 89: loss=0.005, precip=1.587, T=7.000
Iter 90: loss=0.006, precip=1.590, T=7.000
Iter 91: loss=0.006, precip=1.594, T=7.000
Iter 92: loss=0.006, precip=1.597, T=7.000
Iter 93: loss=0.006, precip=1.599, T=7.000
Iter 94: loss=0.006, precip=1.601, T=7.000
Iter 95: loss=0.006, precip=1.603, T=7.000
Iter 96: loss=0.006, precip=1.594, T=7.000
Iter 97: loss=0.006, precip=1.585, T=7.000
Iter 98: loss=0.006, precip=1.578, T=7.000
Iter 99: loss=0.005, precip=1.568, T=7.000
Iter 100: loss=0.005, precip=1.560, T=7.000
