Iter 1: loss=0.052, precip=1.957, T=5.500
Iter 2: loss=0.050, precip=1.920, T=5.500
Iter 3: loss=0.048, precip=1.890, T=5.500
Iter 4: loss=0.047, precip=1.866, T=5.500
Iter 5: loss=0.045, precip=1.846, T=5.500
Iter 6: loss=0.044, precip=1.826, T=5.500
Iter 7: loss=0.042, precip=1.809, T=5.500
Iter 8: loss=0.041, precip=1.793, T=5.500
Iter 9: loss=0.040, precip=1.766, T=5.500
Iter 10: loss=0.038, precip=1.732, T=5.500
Iter 11: loss=0.037, precip=1.702, T=5.500
Iter 12: loss=0.036, precip=1.675, T=5.500
Iter 13: loss=0.034, precip=1.650, T=5.500
Iter 14: loss=0.032, precip=1.628, T=5.500
Iter 15: loss=0.031, precip=1.597, T=5.500
Iter 16: loss=0.030, precip=1.568, T=5.500
Iter 17: loss=0.029, precip=1.541, T=5.500
Iter 18: loss=0.027, precip=1.516, T=5.500
Iter 19: loss=0.026, precip=1.493, T=5.500
Iter 20: loss=0.024, precip=1.470, T=5.500
Iter 21: loss=0.023, precip=1.450, T=5.500
Iter 22: loss=0.022, precip=1.431, T=5.500
Iter 23: loss=0.020, precip=1.414, T=5.500
Iter 24: loss=0.020, precip=1.393, T=5.500
Iter 25: loss=0.018, precip=1.365, T=5.500
Iter 26: loss=0.016, precip=1.340, T=5.500
Iter 27: loss=0.015, precip=1.316, T=5.500
Iter 28: loss=0.014, precip=1.294, T=5.500
Iter 29: loss=0.012, precip=1.273, T=5.500
Iter 30: loss=0.011, precip=1.245, T=5.500
Iter 31: loss=0.010, precip=1.219, T=5.500
Iter 32: loss=0.009, precip=1.195, T=5.500
Iter 33: loss=0.007, precip=1.175, T=5.500
Iter 34: loss=0.007, precip=1.156, T=5.500
Iter 35: loss=0.006, precip=1.138, T=5.500
Iter 36: loss=0.005, precip=1.122, T=5.500
Iter 37: loss=0.004, precip=1.108, T=5.500
Iter 38: loss=0.003, precip=1.095, T=5.500
Iter 39: loss=0.003, precip=1.084, T=5.500
Iter 40: loss=0.004, precip=1.075, T=5.500
Iter 41: loss=0.005, precip=1.081, T=5.500
Iter 42: loss=0.004, precip=1.103, T=5.500
Iter 43: loss=0.003, precip=1.125, T=5.500
Iter 44: loss=0.004, precip=1.144, T=5.500
Iter 45: loss=0.005, precip=1.162, T=5.500
Iter 46: loss=0.006, precip=1.178, T=5.500
Iter 47: loss=0.007, precip=1.193, T=5.500
Iter 48: loss=0.007, precip=1.207, T=5.500
Iter 49: loss=0.008, precip=1.217, T=5.500
Iter 50: loss=0.009, precip=1.221, T=5.500
Iter 51: loss=0.009, precip=1.225, T=5.500
Iter 52: loss=0.009, precip=1.228, T=5.500
Iter 53: loss=0.009, precip=1.231, T=5.500
Iter 54: loss=0.009, precip=1.234, T=5.500
Iter 55: loss=0.009, precip=1.236, T=5.500
Iter 56: loss=0.009, precip=1.238, T=5.500
Iter 57: loss=0.010, precip=1.239, T=5.500
Iter 58: loss=0.010, precip=1.240, T=5.500
Iter 59: loss=0.010, precip=1.241, T=5.500
Iter 60: loss=0.010, precip=1.242, T=5.500
Iter 61: loss=0.010, precip=1.242, T=5.500
Iter 62: loss=0.010, precip=1.243, T=5.500
Iter 63: loss=0.010, precip=1.244, T=5.500
Iter 64: loss=0.010, precip=1.244, T=5.500
Iter 65: loss=0.010, precip=1.245, T=5.500
Iter 66: loss=0.010, precip=1.245, T=5.500
Iter 67: loss=0.010, precip=1.245, T=5.500
Iter 68: loss=0.010, precip=1.246, T=5.500
Iter 69: loss=0.010, precip=1.246, T=5.500
Iter 70: loss=0.010, precip=1.246, T=5.500
Iter 71: loss=0.010, precip=1.246, T=5.500
Iter 72: loss=0.010, precip=1.247, T=5.500
Iter 73: loss=0.010, precip=1.247, T=5.500
Iter 74: loss=0.010, precip=1.247, T=5.500
Iter 75: loss=0.010, precip=1.247, T=5.500
Iter 76: loss=0.010, precip=1.247, T=5.500
Iter 77: loss=0.010, precip=1.247, T=5.500
Iter 78: loss=0.010, precip=1.247, T=5.500
Iter 79: loss=0.010, precip=1.247, T=5.500
Iter 80: loss=0.010, precip=1.247, T=5.500
Iter 81: loss=0.010, precip=1.247, T=5.500
Iter 82: loss=0.010, precip=1.247, T=5.500
Iter 83: loss=0.010, precip=1.247, T=5.500
Iter 84: loss=0.010, precip=1.247, T=5.500
Iter 85: loss=0.010, precip=1.247, T=5.500
Iter 86: loss=0.010, precip=1.247, T=5.500
Iter 87: loss=0.010, precip=1.247, T=5.500
Iter 88: loss=0.010, precip=1.247, T=5.500
Iter 89: loss=0.010, precip=1.247, T=5.500
Iter 90: loss=0.010, precip=1.247, T=5.500
Iter 91: loss=0.010, precip=1.247, T=5.500
Iter 92: loss=0.010, precip=1.246, T=5.500
Iter 93: loss=0.010, precip=1.246, T=5.500
Iter 94: loss=0.010, precip=1.246, T=5.500
Iter 95: loss=0.010, precip=1.246, T=5.500
Iter 96: loss=0.010, precip=1.246, T=5.500
Iter 97: loss=0.010, precip=1.246, T=5.500
Iter 98: loss=0.010, precip=1.246, T=5.500
Iter 99: loss=0.010, precip=1.246, T=5.500
Iter 100: loss=0.010, precip=1.246, T=5.500
