Iter 1: loss=0.014, precip=2.050, T=8.500
Iter 2: loss=0.012, precip=2.084, T=8.500
Iter 3: loss=0.010, precip=2.109, T=8.500
Iter 4: loss=0.008, precip=2.131, T=8.500
Iter 5: loss=0.007, precip=2.149, T=8.500
Iter 6: loss=0.005, precip=2.175, T=8.500
Iter 7: loss=0.004, precip=2.198, T=8.500
Iter 8: loss=0.003, precip=2.218, T=8.500
Iter 9: loss=0.002, precip=2.241, T=8.500
Iter 10: loss=0.003, precip=2.261, T=8.500
Iter 11: loss=0.004, precip=2.279, T=8.500
Iter 12: loss=0.005, precip=2.287, T=8.500
Iter 13: loss=0.006, precip=2.293, T=8.500
Iter 14: loss=0.006, precip=2.299, T=8.500
Iter 15: loss=0.007, precip=2.303, T=8.500
Iter 16: loss=0.007, precip=2.307, T=8.500
Iter 17: loss=0.007, precip=2.310, T=8.500
Iter 18: loss=0.007, precip=2.287, T=8.500
Iter 19: loss=0.006, precip=2.265, T=8.500
Iter 20: loss=0.004, precip=2.246, T=8.500
Iter 21: loss=0.003, precip=2.228, T=8.500
Iter 22: loss=0.003, precip=2.209, T=8.500
Iter 23: loss=0.003, precip=2.191, T=8.500
Iter 24: loss=0.004, precip=2.175, T=8.500
Iter 25: loss=0.004, precip=2.161, T=8.500
Iter 26: loss=0.005, precip=2.145, T=8.500
Iter 27: loss=0.005, precip=2.131, T=8.500
Iter 28: loss=0.007, precip=2.118, T=8.500
Iter 29: loss=0.008, precip=2.106, T=8.500
Iter 30: loss=0.009, precip=2.096, T=8.500
Iter 31: loss=0.009, precip=2.088, T=8.500
Iter 32: loss=0.010, precip=2.080, T=8.500
Iter 33: loss=0.010, precip=2.076, T=8.500
Iter 34: loss=0.011, precip=2.073, T=8.500
Iter 35: loss=0.011, precip=2.070, T=8.500
Iter 36: loss=0.011, precip=2.067, T=8.500
Iter 37: loss=0.011, precip=2.064, T=8.500
Iter 38: loss=0.011, precip=2.062, T=8.500
Iter 39: loss=0.011, precip=2.060, T=8.500
Iter 40: loss=0.011, precip=2.068, T=8.500
Iter 41: loss=0.011, precip=2.075, T=8.500
Iter 42: loss=0.011, precip=2.081, T=8.500
Iter 43: loss=0.010, precip=2.087, T=8.500
Iter 44: loss=0.010, precip=2.093, T=8.500
Iter 45: loss=0.009, precip=2.098, T=8.500
Iter 46: loss=0.009, precip=2.102, T=8.500
Iter 47: loss=0.009, precip=2.106, T=8.500
Iter 48: loss=0.009, precip=2.114, T=8.500
Iter 49: loss=0.008, precip=2.121, T=8.500
Iter 50: loss=0.008, precip=2.127, T=8.500
Iter 51: loss=0.007, precip=2.133, T=8.500
Iter 52: loss=0.007, precip=2.141, T=8.500
Iter 53: loss=0.006, precip=2.148, T=8.500
Iter 54: loss=0.005, precip=2.165, T=8.500
Iter 55: loss=0.005, precip=2.180, T=8.500
Iter 56: loss=0.004, precip=2.194, T=8.500
Iter 57: loss=0.003, precip=2.217, T=8.500
Iter 58: loss=0.002, precip=2.237, T=8.500
Iter 59: loss=0.003, precip=2.256, T=8.500
Iter 60: loss=0.004, precip=2.273, T=8.500
Iter 61: loss=0.005, precip=2.288, T=8.500
Iter 62: loss=0.006, precip=2.301, T=8.500
Iter 63: loss=0.007, precip=2.314, T=8.500
Iter 64: loss=0.007, precip=2.325, T=8.500
Iter 65: loss=0.007, precip=2.335, T=8.500
Iter 66: loss=0.008, precip=2.344, T=8.500
Iter 67: loss=0.008, precip=2.352, T=8.500
Iter 68: loss=0.009, precip=2.359, T=8.500
Iter 69: loss=0.009, precip=2.365, T=8.500
Iter 70: loss=0.009, precip=2.371, T=8.500
Iter 71: loss=0.010, precip=2.375, T=8.500
Iter 72: loss=0.010, precip=2.380, T=8.500
Iter 73: loss=0.010, precip=2.384, T=8.500
Iter 74: loss=0.010, precip=2.388, T=8.500
Iter 75: loss=0.010, precip=2.391, T=8.500
Iter 76: loss=0.010, precip=2.394, T=8.500
Iter 77: loss=0.010, precip=2.391, T=8.500
Iter 78: loss=0.010, precip=2.388, T=8.500
Iter 79: loss=0.010, precip=2.385, T=8.500
Iter 80: loss=0.010, precip=2.382, T=8.500
Iter 81: loss=0.010, precip=2.380, T=8.500
Iter 82: loss=0.010, precip=2.378, T=8.500
Iter 83: loss=0.010, precip=2.369, T=8.500
Iter 84: loss=0.010, precip=2.362, T=8.500
Iter 85: loss=0.009, precip=2.355, T=8.500
Iter 86: loss=0.009, precip=2.347, T=8.500
Iter 87: loss=0.009, precip=2.341, T=8.500
Iter 88: loss=0.008, precip=2.335, T=8.500
Iter 89: loss=0.008, precip=2.313, T=8.500
Iter 90: loss=0.007, precip=2.293, T=8.500
Iter 91: loss=0.006, precip=2.266, T=8.500
Iter 92: loss=0.004, precip=2.241, T=8.500
Iter 93: loss=0.003, precip=2.219, T=8.500
Iter 94: loss=0.002, precip=2.199, T=8.500
Iter 95: loss=0.003, precip=2.181, T=8.500
Iter 96: loss=0.004, precip=2.163, T=8.500
Iter 97: loss=0.005, precip=2.147, T=8.500
Iter 98: loss=0.005, precip=2.133, T=8.500
Iter 99: loss=0.007, precip=2.163, T=8.500
Iter 100: loss=0.005, precip=2.190, T=8.500
