Iter 1: loss=0.077, precip=1.500, T=8.991
Iter 2: loss=0.077, precip=1.500, T=8.953
Iter 3: loss=0.075, precip=1.500, T=8.918
Iter 4: loss=0.073, precip=1.500, T=8.888
Iter 5: loss=0.072, precip=1.500, T=8.863
Iter 6: loss=0.071, precip=1.500, T=8.830
Iter 7: loss=0.069, precip=1.500, T=8.812
Iter 8: loss=0.069, precip=1.500, T=8.786
Iter 9: loss=0.068, precip=1.500, T=8.762
Iter 10: loss=0.066, precip=1.500, T=8.732
Iter 11: loss=0.065, precip=1.500, T=8.704
Iter 12: loss=0.064, precip=1.500, T=8.680
Iter 13: loss=0.064, precip=1.500, T=8.657
Iter 14: loss=0.063, precip=1.500, T=8.627
Iter 15: loss=0.061, precip=1.500, T=8.599
Iter 16: loss=0.060, precip=1.500, T=8.574
Iter 17: loss=0.059, precip=1.500, T=8.541
Iter 18: loss=0.057, precip=1.500, T=8.511
Iter 19: loss=0.055, precip=1.500, T=8.484
Iter 20: loss=0.054, precip=1.500, T=8.448
Iter 21: loss=0.052, precip=1.500, T=8.416
Iter 22: loss=0.050, precip=1.500, T=8.378
Iter 23: loss=0.049, precip=1.500, T=8.335
Iter 24: loss=0.047, precip=1.500, T=8.296
Iter 25: loss=0.045, precip=1.500, T=8.260
Iter 26: loss=0.043, precip=1.500, T=8.228
Iter 27: loss=0.041, precip=1.500, T=8.191
Iter 28: loss=0.040, precip=1.500, T=8.157
Iter 29: loss=0.037, precip=1.500, T=8.127
Iter 30: loss=0.036, precip=1.500, T=8.099
Iter 31: loss=0.035, precip=1.500, T=8.061
Iter 32: loss=0.033, precip=1.500, T=8.023
Iter 33: loss=0.032, precip=1.500, T=7.989
Iter 34: loss=0.030, precip=1.500, T=7.957
Iter 35: loss=0.029, precip=1.500, T=7.928
Iter 36: loss=0.028, precip=1.500, T=7.898
Iter 37: loss=0.026, precip=1.500, T=7.871
Iter 38: loss=0.025, precip=1.500, T=7.846
Iter 39: loss=0.024, precip=1.500, T=7.816
Iter 40: loss=0.023, precip=1.500, T=7.788
Iter 41: loss=0.022, precip=1.500, T=7.753
Iter 42: loss=0.022, precip=1.500, T=7.721
Iter 43: loss=0.021, precip=1.500, T=7.693
Iter 44: loss=0.020, precip=1.500, T=7.667
Iter 45: loss=0.019, precip=1.500, T=7.643
Iter 46: loss=0.018, precip=1.500, T=7.621
Iter 47: loss=0.018, precip=1.500, T=7.601
Iter 48: loss=0.017, precip=1.500, T=7.581
Iter 49: loss=0.017, precip=1.500, T=7.563
Iter 50: loss=0.016, precip=1.500, T=7.546
Iter 51: loss=0.015, precip=1.500, T=7.531
Iter 52: loss=0.015, precip=1.500, T=7.516
Iter 53: loss=0.014, precip=1.500, T=7.501
Iter 54: loss=0.014, precip=1.500, T=7.489
Iter 55: loss=0.014, precip=1.500, T=7.476
Iter 56: loss=0.013, precip=1.500, T=7.465
Iter 57: loss=0.013, precip=1.500, T=7.452
Iter 58: loss=0.012, precip=1.500, T=7.416
Iter 59: loss=0.011, precip=1.500, T=7.379
Iter 60: loss=0.011, precip=1.500, T=7.345
Iter 61: loss=0.010, precip=1.500, T=7.314
Iter 62: loss=0.009, precip=1.500, T=7.282
Iter 63: loss=0.008, precip=1.500, T=7.253
Iter 64: loss=0.007, precip=1.500, T=7.223
Iter 65: loss=0.006, precip=1.500, T=7.195
Iter 66: loss=0.006, precip=1.500, T=7.166
Iter 67: loss=0.004, precip=1.500, T=7.139
Iter 68: loss=0.004, precip=1.500, T=7.105
Iter 69: loss=0.002, precip=1.500, T=7.073
Iter 70: loss=0.002, precip=1.500, T=7.045
Iter 71: loss=0.001, precip=1.500, T=7.018
Iter 72: loss=0.001, precip=1.500, T=6.994
Iter 73: loss=0.000, precip=1.500, T=6.972
Iter 74: loss=0.001, precip=1.500, T=6.954
Iter 75: loss=0.001, precip=1.500, T=6.938
Iter 76: loss=0.001, precip=1.500, T=6.924
Iter 77: loss=0.002, precip=1.500, T=6.911
Iter 78: loss=0.002, precip=1.500, T=6.899
Iter 79: loss=0.002, precip=1.500, T=6.888
Iter 80: loss=0.003, precip=1.500, T=6.879
Iter 81: loss=0.003, precip=1.500, T=6.877
Iter 82: loss=0.003, precip=1.500, T=6.875
Iter 83: loss=0.003, precip=1.500, T=6.873
Iter 84: loss=0.003, precip=1.500, T=6.872
Iter 85: loss=0.003, precip=1.500, T=6.883
Iter 86: loss=0.003, precip=1.500, T=6.894
Iter 87: loss=0.002, precip=1.500, T=6.904
Iter 88: loss=0.002, precip=1.500, T=6.925
Iter 89: loss=0.002, precip=1.500, T=6.943
Iter 90: loss=0.001, precip=1.500, T=6.960
Iter 91: loss=0.001, precip=1.500, T=6.975
Iter 92: loss=0.001, precip=1.500, T=6.988
Iter 93: loss=0.000, precip=1.500, T=7.002
Iter 94: loss=0.000, precip=1.500, T=7.015
Iter 95: loss=0.000, precip=1.500, T=7.026
Iter 96: loss=0.001, precip=1.500, T=7.037
Iter 97: loss=0.001, precip=1.500, T=7.046
Iter 98: loss=0.001, precip=1.500, T=7.055
Iter 99: loss=0.001, precip=1.500, T=7.062
Iter 100: loss=0.001, precip=1.500, T=7.069
