Iter 1: loss=0.018, precip=1.500, T=6.050
Iter 2: loss=0.017, precip=1.500, T=6.084
Iter 3: loss=0.017, precip=1.500, T=6.109
Iter 4: loss=0.017, precip=1.500, T=6.135
Iter 5: loss=0.016, precip=1.500, T=6.165
Iter 6: loss=0.015, precip=1.500, T=6.195
Iter 7: loss=0.015, precip=1.500, T=6.224
Iter 8: loss=0.015, precip=1.500, T=6.259
Iter 9: loss=0.014, precip=1.500, T=6.290
Iter 10: loss=0.014, precip=1.500, T=6.318
Iter 11: loss=0.013, precip=1.500, T=6.343
Iter 12: loss=0.012, precip=1.500, T=6.375
Iter 13: loss=0.012, precip=1.500, T=6.405
Iter 14: loss=0.011, precip=1.500, T=6.432
Iter 15: loss=0.011, precip=1.500, T=6.467
Iter 16: loss=0.010, precip=1.500, T=6.499
Iter 17: loss=0.009, precip=1.500, T=6.528
Iter 18: loss=0.009, precip=1.500, T=6.564
Iter 19: loss=0.009, precip=1.500, T=6.597
Iter 20: loss=0.008, precip=1.500, T=6.626
Iter 21: loss=0.008, precip=1.500, T=6.664
Iter 22: loss=0.007, precip=1.500, T=6.698
Iter 23: loss=0.006, precip=1.500, T=6.733
Iter 24: loss=0.006, precip=1.500, T=6.765
Iter 25: loss=0.005, precip=1.500, T=6.793
Iter 26: loss=0.005, precip=1.500, T=6.820
Iter 27: loss=0.004, precip=1.500, T=6.843
Iter 28: loss=0.004, precip=1.500, T=6.865
Iter 29: loss=0.003, precip=1.500, T=6.885
Iter 30: loss=0.003, precip=1.500, T=6.915
Iter 31: loss=0.002, precip=1.500, T=6.943
Iter 32: loss=0.001, precip=1.500, T=6.968
Iter 33: loss=0.001, precip=1.500, T=6.991
Iter 34: loss=0.000, precip=1.500, T=7.019
Iter 35: loss=0.001, precip=1.500, T=7.044
Iter 36: loss=0.001, precip=1.500, T=7.064
Iter 37: loss=0.001, precip=1.500, T=7.080
Iter 38: loss=0.002, precip=1.500, T=7.060
Iter 39: loss=0.001, precip=1.500, T=7.041
Iter 40: loss=0.001, precip=1.500, T=7.024
Iter 41: loss=0.001, precip=1.500, T=7.008
Iter 42: loss=0.000, precip=1.500, T=6.992
Iter 43: loss=0.000, precip=1.500, T=6.978
Iter 44: loss=0.001, precip=1.500, T=6.966
Iter 45: loss=0.001, precip=1.500, T=6.954
Iter 46: loss=0.001, precip=1.500, T=6.945
Iter 47: loss=0.001, precip=1.500, T=6.936
Iter 48: loss=0.001, precip=1.500, T=6.928
Iter 49: loss=0.002, precip=1.500, T=6.935
Iter 50: loss=0.001, precip=1.500, T=6.941
Iter 51: loss=0.001, precip=1.500, T=6.946
Iter 52: loss=0.001, precip=1.500, T=6.951
Iter 53: loss=0.001, precip=1.500, T=6.955
Iter 54: loss=0.001, precip=1.500, T=6.979
Iter 55: loss=0.001, precip=1.500, T=7.000
Iter 56: loss=0.000, precip=1.500, T=7.019
Iter 57: loss=0.001, precip=1.500, T=7.036
Iter 58: loss=0.001, precip=1.500, T=7.052
Iter 59: loss=0.001, precip=1.500, T=7.066
Iter 60: loss=0.002, precip=1.500, T=7.064
Iter 61: loss=0.001, precip=1.500, T=7.061
Iter 62: loss=0.001, precip=1.500, T=7.059
Iter 63: loss=0.001, precip=1.500, T=7.056
Iter 64: loss=0.001, precip=1.500, T=7.054
Iter 65: loss=0.001, precip=1.500, T=7.052
Iter 66: loss=0.001, precip=1.500, T=7.050
Iter 67: loss=0.001, precip=1.500, T=7.048
Iter 68: loss=0.001, precip=1.500, T=7.046
Iter 69: loss=0.001, precip=1.500, T=7.044
Iter 70: loss=0.001, precip=1.500, T=7.031
Iter 71: loss=0.001, precip=1.500, T=7.019
Iter 72: loss=0.001, precip=1.500, T=7.008
Iter 73: loss=0.000, precip=1.500, T=6.972
Iter 74: loss=0.001, precip=1.500, T=6.941
Iter 75: loss=0.001, precip=1.500, T=6.912
Iter 76: loss=0.002, precip=1.500, T=6.886
Iter 77: loss=0.003, precip=1.500, T=6.864
Iter 78: loss=0.003, precip=1.500, T=6.843
Iter 79: loss=0.004, precip=1.500, T=6.825
Iter 80: loss=0.004, precip=1.500, T=6.809
Iter 81: loss=0.004, precip=1.500, T=6.794
Iter 82: loss=0.005, precip=1.500, T=6.780
Iter 83: loss=0.005, precip=1.500, T=6.784
Iter 84: loss=0.005, precip=1.500, T=6.788
Iter 85: loss=0.005, precip=1.500, T=6.791
Iter 86: loss=0.005, precip=1.500, T=6.794
Iter 87: loss=0.005, precip=1.500, T=6.797
Iter 88: loss=0.005, precip=1.500, T=6.800
Iter 89: loss=0.005, precip=1.500, T=6.802
Iter 90: loss=0.005, precip=1.500, T=6.804
Iter 91: loss=0.004, precip=1.500, T=6.810
Iter 92: loss=0.004, precip=1.500, T=6.814
Iter 93: loss=0.004, precip=1.500, T=6.818
Iter 94: loss=0.004, precip=1.500, T=6.822
Iter 95: loss=0.004, precip=1.500, T=6.826
Iter 96: loss=0.004, precip=1.500, T=6.829
Iter 97: loss=0.004, precip=1.500, T=6.838
Iter 98: loss=0.004, precip=1.500, T=6.853
Iter 99: loss=0.003, precip=1.500, T=6.867
Iter 100: loss=0.003, precip=1.500, T=6.880
