Iter 1: loss=0.005, precip=2.550, T=8.950
Iter 2: loss=0.004, precip=2.584, T=8.916
Iter 3: loss=0.007, precip=2.609, T=8.891
Iter 4: loss=0.009, precip=2.581, T=8.918
Iter 5: loss=0.007, precip=2.553, T=8.948
Iter 6: loss=0.004, precip=2.520, T=8.980
Iter 7: loss=0.003, precip=2.492, T=9.007
Iter 8: loss=0.006, precip=2.467, T=9.031
Iter 9: loss=0.009, precip=2.447, T=9.051
Iter 10: loss=0.011, precip=2.456, T=9.040
Iter 11: loss=0.009, precip=2.481, T=9.014
Iter 12: loss=0.006, precip=2.504, T=8.991
Iter 13: loss=0.004, precip=2.525, T=8.970
Iter 14: loss=0.003, precip=2.541, T=8.952
Iter 15: loss=0.004, precip=2.555, T=8.936
Iter 16: loss=0.005, precip=2.554, T=8.935
Iter 17: loss=0.005, precip=2.531, T=8.958
Iter 18: loss=0.003, precip=2.500, T=8.988
Iter 19: loss=0.004, precip=2.472, T=9.015
Iter 20: loss=0.008, precip=2.454, T=9.033
Iter 21: loss=0.009, precip=2.438, T=9.048
Iter 22: loss=0.011, precip=2.424, T=9.062
Iter 23: loss=0.012, precip=2.410, T=9.075
Iter 24: loss=0.013, precip=2.398, T=9.087
Iter 25: loss=0.014, precip=2.387, T=9.098
Iter 26: loss=0.015, precip=2.376, T=9.108
Iter 27: loss=0.016, precip=2.367, T=9.117
Iter 28: loss=0.018, precip=2.358, T=9.125
Iter 29: loss=0.019, precip=2.351, T=9.132
Iter 30: loss=0.019, precip=2.344, T=9.138
Iter 31: loss=0.020, precip=2.338, T=9.144
Iter 32: loss=0.021, precip=2.332, T=9.149
Iter 33: loss=0.021, precip=2.327, T=9.154
Iter 34: loss=0.022, precip=2.322, T=9.158
Iter 35: loss=0.022, precip=2.318, T=9.162
Iter 36: loss=0.022, precip=2.314, T=9.166
Iter 37: loss=0.023, precip=2.310, T=9.169
Iter 38: loss=0.023, precip=2.306, T=9.173
Iter 39: loss=0.023, precip=2.302, T=9.176
Iter 40: loss=0.023, precip=2.298, T=9.179
Iter 41: loss=0.024, precip=2.294, T=9.181
Iter 42: loss=0.024, precip=2.290, T=9.184
Iter 43: loss=0.025, precip=2.287, T=9.186
Iter 44: loss=0.025, precip=2.288, T=9.183
Iter 45: loss=0.025, precip=2.288, T=9.181
Iter 46: loss=0.025, precip=2.292, T=9.175
Iter 47: loss=0.024, precip=2.297, T=9.169
Iter 48: loss=0.023, precip=2.302, T=9.163
Iter 49: loss=0.023, precip=2.307, T=9.155
Iter 50: loss=0.022, precip=2.312, T=9.149
Iter 51: loss=0.022, precip=2.315, T=9.143
Iter 52: loss=0.022, precip=2.319, T=9.137
Iter 53: loss=0.022, precip=2.322, T=9.133
Iter 54: loss=0.021, precip=2.325, T=9.128
Iter 55: loss=0.021, precip=2.327, T=9.124
Iter 56: loss=0.021, precip=2.345, T=9.105
Iter 57: loss=0.019, precip=2.362, T=9.087
Iter 58: loss=0.016, precip=2.378, T=9.070
Iter 59: loss=0.014, precip=2.392, T=9.055
Iter 60: loss=0.014, precip=2.405, T=9.041
Iter 61: loss=0.013, precip=2.417, T=9.029
Iter 62: loss=0.011, precip=2.428, T=9.017
Iter 63: loss=0.010, precip=2.438, T=9.006
Iter 64: loss=0.009, precip=2.447, T=8.996
Iter 65: loss=0.008, precip=2.456, T=8.987
Iter 66: loss=0.007, precip=2.465, T=8.977
Iter 67: loss=0.006, precip=2.473, T=8.968
Iter 68: loss=0.005, precip=2.480, T=8.960
Iter 69: loss=0.004, precip=2.487, T=8.952
Iter 70: loss=0.004, precip=2.493, T=8.946
Iter 71: loss=0.003, precip=2.498, T=8.940
Iter 72: loss=0.003, precip=2.503, T=8.934
Iter 73: loss=0.003, precip=2.507, T=8.930
Iter 74: loss=0.003, precip=2.509, T=8.927
Iter 75: loss=0.003, precip=2.483, T=8.952
Iter 76: loss=0.004, precip=2.459, T=8.975
Iter 77: loss=0.006, precip=2.437, T=8.996
Iter 78: loss=0.009, precip=2.418, T=9.015
Iter 79: loss=0.011, precip=2.410, T=9.022
Iter 80: loss=0.011, precip=2.404, T=9.028
Iter 81: loss=0.012, precip=2.398, T=9.033
Iter 82: loss=0.013, precip=2.393, T=9.039
Iter 83: loss=0.013, precip=2.388, T=9.043
Iter 84: loss=0.013, precip=2.395, T=9.035
Iter 85: loss=0.013, precip=2.437, T=8.993
Iter 86: loss=0.009, precip=2.476, T=8.955
Iter 87: loss=0.004, precip=2.510, T=8.920
Iter 88: loss=0.004, precip=2.541, T=8.889
Iter 89: loss=0.006, precip=2.570, T=8.860
Iter 90: loss=0.008, precip=2.595, T=8.835
Iter 91: loss=0.010, precip=2.618, T=8.811
Iter 92: loss=0.011, precip=2.639, T=8.790
Iter 93: loss=0.013, precip=2.658, T=8.771
Iter 94: loss=0.015, precip=2.673, T=8.756
Iter 95: loss=0.016, precip=2.686, T=8.743
Iter 96: loss=0.017, precip=2.697, T=8.732
Iter 97: loss=0.018, precip=2.707, T=8.722
Iter 98: loss=0.019, precip=2.715, T=8.713
Iter 99: loss=0.020, precip=2.723, T=8.705
Iter 100: loss=0.020, precip=2.729, T=8.699
