Iter 1: loss=0.061, precip=2.450, T=7.000
Iter 2: loss=0.059, precip=2.410, T=7.000
Iter 3: loss=0.057, precip=2.368, T=7.000
Iter 4: loss=0.056, precip=2.328, T=7.000
Iter 5: loss=0.054, precip=2.294, T=7.000
Iter 6: loss=0.052, precip=2.257, T=7.000
Iter 7: loss=0.050, precip=2.216, T=7.000
Iter 8: loss=0.048, precip=2.179, T=7.000
Iter 9: loss=0.045, precip=2.145, T=7.000
Iter 10: loss=0.043, precip=2.112, T=7.000
Iter 11: loss=0.041, precip=2.083, T=7.000
Iter 12: loss=0.039, precip=2.055, T=7.000
Iter 13: loss=0.037, precip=2.029, T=7.000
Iter 14: loss=0.035, precip=2.006, T=7.000
Iter 15: loss=0.034, precip=1.984, T=7.000
Iter 16: loss=0.032, precip=1.960, T=7.000
Iter 17: loss=0.030, precip=1.937, T=7.000
Iter 18: loss=0.028, precip=1.917, T=7.000
Iter 19: loss=0.027, precip=1.898, T=7.000
Iter 20: loss=0.026, precip=1.878, T=7.000
Iter 21: loss=0.024, precip=1.859, T=7.000
Iter 22: loss=0.023, precip=1.839, T=7.000
Iter 23: loss=0.022, precip=1.818, T=7.000
Iter 24: loss=0.020, precip=1.796, T=7.000
Iter 25: loss=0.019, precip=1.776, T=7.000
Iter 26: loss=0.017, precip=1.758, T=7.000
Iter 27: loss=0.016, precip=1.741, T=7.000
Iter 28: loss=0.015, precip=1.725, T=7.000
Iter 29: loss=0.014, precip=1.710, T=7.000
Iter 30: loss=0.013, precip=1.679, T=7.000
Iter 31: loss=0.011, precip=1.649, T=7.000
Iter 32: loss=0.010, precip=1.623, T=7.000
Iter 33: loss=0.008, precip=1.598, T=7.000
Iter 34: loss=0.006, precip=1.570, T=7.000
Iter 35: loss=0.005, precip=1.544, T=7.000
Iter 36: loss=0.003, precip=1.521, T=7.000
Iter 37: loss=0.001, precip=1.500, T=7.000
