Iter 1: loss=0.12111, precip=2.490, T=5.500
Iter 2: loss=0.11801, precip=2.454, T=5.500
Iter 3: loss=0.11550, precip=2.412, T=5.500
Iter 4: loss=0.11252, precip=2.370, T=5.500
Iter 5: loss=0.10978, precip=2.331, T=5.500
Iter 6: loss=0.10712, precip=2.298, T=5.500
Iter 7: loss=0.10434, precip=2.268, T=5.500
Iter 8: loss=0.10222, precip=2.241, T=5.500
Iter 9: loss=0.09993, precip=2.218, T=5.500
Iter 10: loss=0.09758, precip=2.191, T=5.500
Iter 11: loss=0.09518, precip=2.167, T=5.500
Iter 12: loss=0.09276, precip=2.143, T=5.500
Iter 13: loss=0.09047, precip=2.119, T=5.500
Iter 14: loss=0.08810, precip=2.092, T=5.500
Iter 15: loss=0.08486, precip=2.066, T=5.500
Iter 16: loss=0.08199, precip=2.034, T=5.500
Iter 17: loss=0.07839, precip=2.002, T=5.500
Iter 18: loss=0.07476, precip=1.970, T=5.500
Iter 19: loss=0.07125, precip=1.937, T=5.500
Iter 20: loss=0.06781, precip=1.907, T=5.500
Iter 21: loss=0.06528, precip=1.879, T=5.500
Iter 22: loss=0.06316, precip=1.854, T=5.500
Iter 23: loss=0.06043, precip=1.832, T=5.500
Iter 24: loss=0.05828, precip=1.810, T=5.500
Iter 25: loss=0.05720, precip=1.790, T=5.500
Iter 26: loss=0.05612, precip=1.771, T=5.500
Iter 27: loss=0.05531, precip=1.755, T=5.500
Iter 28: loss=0.05438, precip=1.737, T=5.500
Iter 29: loss=0.05350, precip=1.722, T=5.500
Iter 30: loss=0.05255, precip=1.705, T=5.500
Iter 31: loss=0.05127, precip=1.691, T=5.500
Iter 32: loss=0.05043, precip=1.677, T=5.500
Iter 33: loss=0.04973, precip=1.665, T=5.500
Iter 34: loss=0.04868, precip=1.653, T=5.500
Iter 35: loss=0.04807, precip=1.642, T=5.500
Iter 36: loss=0.04723, precip=1.631, T=5.500
Iter 37: loss=0.04653, precip=1.622, T=5.500
Iter 38: loss=0.04578, precip=1.613, T=5.500
Iter 39: loss=0.04511, precip=1.604, T=5.500
Iter 40: loss=0.04460, precip=1.595, T=5.500
Iter 41: loss=0.04387, precip=1.581, T=5.500
Iter 42: loss=0.04298, precip=1.547, T=5.500
Iter 43: loss=0.03973, precip=1.515, T=5.500
Iter 44: loss=0.03720, precip=1.486, T=5.500
Iter 45: loss=0.03451, precip=1.460, T=5.500
Iter 46: loss=0.03265, precip=1.436, T=5.500
Iter 47: loss=0.03054, precip=1.414, T=5.500
Iter 48: loss=0.02892, precip=1.394, T=5.500
Iter 49: loss=0.02700, precip=1.375, T=5.500
Iter 50: loss=0.02542, precip=1.358, T=5.500
Iter 51: loss=0.02390, precip=1.342, T=5.500
Iter 52: loss=0.02281, precip=1.327, T=5.500
Iter 53: loss=0.02161, precip=1.311, T=5.500
Iter 54: loss=0.02023, precip=1.296, T=5.500
Iter 55: loss=0.01896, precip=1.264, T=5.500
Iter 56: loss=0.01623, precip=1.234, T=5.500
Iter 57: loss=0.01444, precip=1.207, T=5.500
Iter 58: loss=0.01236, precip=1.169, T=5.500
Iter 59: loss=0.00946, precip=1.135, T=5.500
Iter 60: loss=0.00706, precip=1.104, T=5.500
Iter 61: loss=0.00440, precip=1.075, T=5.500
Iter 62: loss=0.00245, precip=1.049, T=5.500
Iter 63: loss=0.00111, precip=1.025, T=5.500
Iter 64: loss=0.00178, precip=1.003, T=5.500
Iter 65: loss=0.00327, precip=0.984, T=5.500
