Iter 1: loss=0.07622, precip=1.050, T=8.500
Iter 2: loss=0.07256, precip=1.084, T=8.500
Iter 3: loss=0.07044, precip=1.110, T=8.500
Iter 4: loss=0.06872, precip=1.131, T=8.500
Iter 5: loss=0.06737, precip=1.149, T=8.500
Iter 6: loss=0.06633, precip=1.165, T=8.500
Iter 7: loss=0.06513, precip=1.191, T=8.500
Iter 8: loss=0.06317, precip=1.214, T=8.500
Iter 9: loss=0.06155, precip=1.235, T=8.500
Iter 10: loss=0.05976, precip=1.254, T=8.500
Iter 11: loss=0.05842, precip=1.271, T=8.500
Iter 12: loss=0.05717, precip=1.286, T=8.500
Iter 13: loss=0.05603, precip=1.300, T=8.500
Iter 14: loss=0.05492, precip=1.313, T=8.500
Iter 15: loss=0.05421, precip=1.324, T=8.500
Iter 16: loss=0.05313, precip=1.336, T=8.500
Iter 17: loss=0.05242, precip=1.346, T=8.500
Iter 18: loss=0.05174, precip=1.373, T=8.500
Iter 19: loss=0.04959, precip=1.404, T=8.500
Iter 20: loss=0.04738, precip=1.438, T=8.500
Iter 21: loss=0.04534, precip=1.470, T=8.500
Iter 22: loss=0.04303, precip=1.499, T=8.500
Iter 23: loss=0.04101, precip=1.525, T=8.500
Iter 24: loss=0.03966, precip=1.553, T=8.500
Iter 25: loss=0.03761, precip=1.580, T=8.500
Iter 26: loss=0.03593, precip=1.606, T=8.500
Iter 27: loss=0.03428, precip=1.629, T=8.500
Iter 28: loss=0.03350, precip=1.650, T=8.500
Iter 29: loss=0.03226, precip=1.669, T=8.500
Iter 30: loss=0.03101, precip=1.687, T=8.500
Iter 31: loss=0.02997, precip=1.703, T=8.500
Iter 32: loss=0.02892, precip=1.719, T=8.500
Iter 33: loss=0.02808, precip=1.733, T=8.500
Iter 34: loss=0.02748, precip=1.745, T=8.500
Iter 35: loss=0.02687, precip=1.757, T=8.500
Iter 36: loss=0.02603, precip=1.769, T=8.500
Iter 37: loss=0.02556, precip=1.780, T=8.500
Iter 38: loss=0.02505, precip=1.790, T=8.500
Iter 39: loss=0.02444, precip=1.799, T=8.500
Iter 40: loss=0.02414, precip=1.807, T=8.500
Iter 41: loss=0.02377, precip=1.814, T=8.500
Iter 42: loss=0.02353, precip=1.822, T=8.500
Iter 43: loss=0.02301, precip=1.842, T=8.500
Iter 44: loss=0.02192, precip=1.860, T=8.500
Iter 45: loss=0.02098, precip=1.877, T=8.500
Iter 46: loss=0.01980, precip=1.893, T=8.500
Iter 47: loss=0.01854, precip=1.909, T=8.500
Iter 48: loss=0.01768, precip=1.923, T=8.500
Iter 49: loss=0.01694, precip=1.936, T=8.500
Iter 50: loss=0.01633, precip=1.948, T=8.500
Iter 51: loss=0.01569, precip=1.959, T=8.500
Iter 52: loss=0.01504, precip=1.976, T=8.500
Iter 53: loss=0.01428, precip=1.991, T=8.500
Iter 54: loss=0.01353, precip=2.007, T=8.500
Iter 55: loss=0.01249, precip=2.022, T=8.500
Iter 56: loss=0.01192, precip=2.039, T=8.500
Iter 57: loss=0.01095, precip=2.068, T=8.500
Iter 58: loss=0.00952, precip=2.103, T=8.500
Iter 59: loss=0.00791, precip=2.136, T=8.500
Iter 60: loss=0.00643, precip=2.166, T=8.500
Iter 61: loss=0.00515, precip=2.193, T=8.500
Iter 62: loss=0.00374, precip=2.217, T=8.500
Iter 63: loss=0.00246, precip=2.239, T=8.500
Iter 64: loss=0.00158, precip=2.259, T=8.500
Iter 65: loss=0.00104, precip=2.277, T=8.500
Iter 66: loss=0.00128, precip=2.295, T=8.500
Iter 67: loss=0.00205, precip=2.312, T=8.500
