Iter 1: loss=0.06088, precip=1.500, T=8.950
Iter 2: loss=0.05892, precip=1.500, T=8.916
Iter 3: loss=0.05754, precip=1.500, T=8.890
Iter 4: loss=0.05638, precip=1.500, T=8.861
Iter 5: loss=0.05518, precip=1.500, T=8.837
Iter 6: loss=0.05394, precip=1.500, T=8.812
Iter 7: loss=0.05296, precip=1.500, T=8.791
Iter 8: loss=0.05229, precip=1.500, T=8.772
Iter 9: loss=0.05172, precip=1.500, T=8.754
Iter 10: loss=0.05089, precip=1.500, T=8.735
Iter 11: loss=0.04997, precip=1.500, T=8.718
Iter 12: loss=0.04933, precip=1.500, T=8.703
Iter 13: loss=0.04889, precip=1.500, T=8.689
Iter 14: loss=0.04828, precip=1.500, T=8.677
Iter 15: loss=0.04778, precip=1.500, T=8.665
Iter 16: loss=0.04734, precip=1.500, T=8.654
Iter 17: loss=0.04673, precip=1.500, T=8.644
Iter 18: loss=0.04620, precip=1.500, T=8.635
Iter 19: loss=0.04586, precip=1.500, T=8.627
Iter 20: loss=0.04569, precip=1.500, T=8.619
Iter 21: loss=0.04559, precip=1.500, T=8.612
Iter 22: loss=0.04539, precip=1.500, T=8.606
Iter 23: loss=0.04512, precip=1.500, T=8.600
Iter 24: loss=0.04488, precip=1.500, T=8.595
Iter 25: loss=0.04466, precip=1.500, T=8.589
Iter 26: loss=0.04444, precip=1.500, T=8.584
Iter 27: loss=0.04414, precip=1.500, T=8.579
Iter 28: loss=0.04391, precip=1.500, T=8.571
Iter 29: loss=0.04363, precip=1.500, T=8.564
Iter 30: loss=0.04330, precip=1.500, T=8.557
Iter 31: loss=0.04320, precip=1.500, T=8.551
Iter 32: loss=0.04279, precip=1.500, T=8.545
Iter 33: loss=0.04246, precip=1.500, T=8.540
Iter 34: loss=0.04226, precip=1.500, T=8.535
Iter 35: loss=0.04219, precip=1.500, T=8.531
Iter 36: loss=0.04212, precip=1.500, T=8.527
Iter 37: loss=0.04192, precip=1.500, T=8.523
Iter 38: loss=0.04178, precip=1.500, T=8.520
Iter 39: loss=0.04167, precip=1.500, T=8.514
Iter 40: loss=0.04146, precip=1.500, T=8.507
Iter 41: loss=0.04123, precip=1.500, T=8.500
Iter 42: loss=0.04098, precip=1.500, T=8.494
Iter 43: loss=0.04083, precip=1.500, T=8.486
Iter 44: loss=0.04047, precip=1.500, T=8.478
Iter 45: loss=0.04017, precip=1.500, T=8.471
Iter 46: loss=0.03996, precip=1.500, T=8.449
Iter 47: loss=0.03932, precip=1.500, T=8.428
Iter 48: loss=0.03838, precip=1.500, T=8.407
Iter 49: loss=0.03747, precip=1.500, T=8.388
Iter 50: loss=0.03694, precip=1.500, T=8.371
Iter 51: loss=0.03650, precip=1.500, T=8.355
Iter 52: loss=0.03596, precip=1.500, T=8.341
Iter 53: loss=0.03556, precip=1.500, T=8.328
Iter 54: loss=0.03525, precip=1.500, T=8.316
Iter 55: loss=0.03495, precip=1.500, T=8.305
Iter 56: loss=0.03434, precip=1.500, T=8.296
Iter 57: loss=0.03401, precip=1.500, T=8.287
Iter 58: loss=0.03387, precip=1.500, T=8.279
Iter 59: loss=0.03370, precip=1.500, T=8.271
Iter 60: loss=0.03353, precip=1.500, T=8.259
Iter 61: loss=0.03303, precip=1.500, T=8.248
Iter 62: loss=0.03263, precip=1.500, T=8.238
Iter 63: loss=0.03222, precip=1.500, T=8.229
Iter 64: loss=0.03205, precip=1.500, T=8.221
Iter 65: loss=0.03185, precip=1.500, T=8.213
Iter 66: loss=0.03162, precip=1.500, T=8.205
Iter 67: loss=0.03138, precip=1.500, T=8.199
Iter 68: loss=0.03125, precip=1.500, T=8.192
Iter 69: loss=0.03104, precip=1.500, T=8.187
Iter 70: loss=0.03093, precip=1.500, T=8.181
Iter 71: loss=0.03078, precip=1.500, T=8.175
Iter 72: loss=0.03061, precip=1.500, T=8.158
Iter 73: loss=0.03005, precip=1.500, T=8.142
Iter 74: loss=0.02956, precip=1.500, T=8.127
Iter 75: loss=0.02913, precip=1.500, T=8.113
Iter 76: loss=0.02845, precip=1.500, T=8.100
Iter 77: loss=0.02818, precip=1.500, T=8.089
Iter 78: loss=0.02779, precip=1.500, T=8.077
Iter 79: loss=0.02758, precip=1.500, T=8.067
Iter 80: loss=0.02721, precip=1.500, T=8.058
Iter 81: loss=0.02707, precip=1.500, T=8.049
Iter 82: loss=0.02677, precip=1.500, T=8.041
Iter 83: loss=0.02667, precip=1.500, T=8.034
Iter 84: loss=0.02652, precip=1.500, T=8.028
Iter 85: loss=0.02623, precip=1.500, T=8.021
Iter 86: loss=0.02596, precip=1.500, T=8.016
Iter 87: loss=0.02569, precip=1.500, T=8.011
Iter 88: loss=0.02552, precip=1.500, T=8.006
Iter 89: loss=0.02545, precip=1.500, T=8.002
Iter 90: loss=0.02542, precip=1.500, T=7.998
Iter 91: loss=0.02539, precip=1.500, T=7.995
Iter 92: loss=0.02529, precip=1.500, T=7.992
Iter 93: loss=0.02519, precip=1.500, T=7.989
Iter 94: loss=0.02518, precip=1.500, T=7.986
Iter 95: loss=0.02512, precip=1.500, T=7.984
Iter 96: loss=0.02508, precip=1.500, T=7.981
Iter 97: loss=0.02502, precip=1.500, T=7.979
Iter 98: loss=0.02502, precip=1.500, T=7.977
Iter 99: loss=0.02502, precip=1.500, T=7.976
Iter 100: loss=0.02488, precip=1.500, T=7.974
Iter 101: loss=0.02482, precip=1.500, T=7.971
Iter 102: loss=0.02477, precip=1.500, T=7.969
Iter 103: loss=0.02475, precip=1.500, T=7.967
Iter 104: loss=0.02469, precip=1.500, T=7.963
Iter 105: loss=0.02455, precip=1.500, T=7.960
Iter 106: loss=0.02448, precip=1.500, T=7.957
Iter 107: loss=0.02438, precip=1.500, T=7.955
Iter 108: loss=0.02430, precip=1.500, T=7.951
Iter 109: loss=0.02407, precip=1.500, T=7.948
Iter 110: loss=0.02407, precip=1.500, T=7.944
Iter 111: loss=0.02394, precip=1.500, T=7.933
Iter 112: loss=0.02370, precip=1.500, T=7.922
Iter 113: loss=0.02350, precip=1.500, T=7.913
Iter 114: loss=0.02337, precip=1.500, T=7.904
Iter 115: loss=0.02323, precip=1.500, T=7.897
Iter 116: loss=0.02300, precip=1.500, T=7.890
Iter 117: loss=0.02286, precip=1.500, T=7.883
Iter 118: loss=0.02263, precip=1.500, T=7.877
Iter 119: loss=0.02249, precip=1.500, T=7.871
Iter 120: loss=0.02229, precip=1.500, T=7.866
Iter 121: loss=0.02205, precip=1.500, T=7.861
Iter 122: loss=0.02186, precip=1.500, T=7.855
Iter 123: loss=0.02175, precip=1.500, T=7.850
Iter 124: loss=0.02155, precip=1.500, T=7.844
Iter 125: loss=0.02135, precip=1.500, T=7.838
Iter 126: loss=0.02130, precip=1.500, T=7.821
Iter 127: loss=0.02091, precip=1.500, T=7.803
Iter 128: loss=0.02041, precip=1.500, T=7.778
Iter 129: loss=0.01946, precip=1.500, T=7.755
Iter 130: loss=0.01858, precip=1.500, T=7.735
Iter 131: loss=0.01801, precip=1.500, T=7.716
Iter 132: loss=0.01731, precip=1.500, T=7.699
Iter 133: loss=0.01697, precip=1.500, T=7.683
Iter 134: loss=0.01650, precip=1.500, T=7.669
Iter 135: loss=0.01623, precip=1.500, T=7.657
Iter 136: loss=0.01589, precip=1.500, T=7.645
Iter 137: loss=0.01559, precip=1.500, T=7.635
Iter 138: loss=0.01532, precip=1.500, T=7.626
Iter 139: loss=0.01515, precip=1.500, T=7.617
Iter 140: loss=0.01481, precip=1.500, T=7.609
Iter 141: loss=0.01458, precip=1.500, T=7.602
Iter 142: loss=0.01438, precip=1.500, T=7.596
Iter 143: loss=0.01418, precip=1.500, T=7.590
Iter 144: loss=0.01407, precip=1.500, T=7.584
Iter 145: loss=0.01401, precip=1.500, T=7.579
Iter 146: loss=0.01397, precip=1.500, T=7.575
Iter 147: loss=0.01380, precip=1.500, T=7.569
Iter 148: loss=0.01358, precip=1.500, T=7.561
Iter 149: loss=0.01330, precip=1.500, T=7.554
Iter 150: loss=0.01310, precip=1.500, T=7.547
Iter 151: loss=0.01303, precip=1.500, T=7.541
Iter 152: loss=0.01273, precip=1.500, T=7.529
Iter 153: loss=0.01229, precip=1.500, T=7.519
Iter 154: loss=0.01202, precip=1.500, T=7.509
Iter 155: loss=0.01182, precip=1.500, T=7.500
Iter 156: loss=0.01152, precip=1.500, T=7.490
Iter 157: loss=0.01135, precip=1.500, T=7.481
Iter 158: loss=0.01115, precip=1.500, T=7.471
Iter 159: loss=0.01087, precip=1.500, T=7.461
Iter 160: loss=0.01071, precip=1.500, T=7.453
Iter 161: loss=0.01044, precip=1.500, T=7.445
Iter 162: loss=0.01014, precip=1.500, T=7.438
Iter 163: loss=0.01010, precip=1.500, T=7.432
Iter 164: loss=0.01003, precip=1.500, T=7.426
Iter 165: loss=0.00990, precip=1.500, T=7.421
Iter 166: loss=0.00980, precip=1.500, T=7.416
Iter 167: loss=0.00960, precip=1.500, T=7.408
Iter 168: loss=0.00936, precip=1.500, T=7.400
Iter 169: loss=0.00910, precip=1.500, T=7.381
Iter 170: loss=0.00882, precip=1.500, T=7.361
Iter 171: loss=0.00845, precip=1.500, T=7.343
Iter 172: loss=0.00808, precip=1.500, T=7.327
Iter 173: loss=0.00771, precip=1.500, T=7.313
Iter 174: loss=0.00741, precip=1.500, T=7.300
Iter 175: loss=0.00712, precip=1.500, T=7.287
Iter 176: loss=0.00670, precip=1.500, T=7.272
Iter 177: loss=0.00636, precip=1.500, T=7.259
Iter 178: loss=0.00609, precip=1.500, T=7.246
Iter 179: loss=0.00589, precip=1.500, T=7.235
Iter 180: loss=0.00566, precip=1.500, T=7.225
Iter 181: loss=0.00545, precip=1.500, T=7.216
Iter 182: loss=0.00539, precip=1.500, T=7.208
Iter 183: loss=0.00519, precip=1.500, T=7.201
Iter 184: loss=0.00488, precip=1.500, T=7.194
Iter 185: loss=0.00478, precip=1.500, T=7.188
Iter 186: loss=0.00461, precip=1.500, T=7.183
Iter 187: loss=0.00451, precip=1.500, T=7.175
Iter 188: loss=0.00428, precip=1.500, T=7.168
Iter 189: loss=0.00417, precip=1.500, T=7.160
Iter 190: loss=0.00401, precip=1.500, T=7.154
Iter 191: loss=0.00384, precip=1.500, T=7.148
Iter 192: loss=0.00364, precip=1.500, T=7.142
Iter 193: loss=0.00350, precip=1.500, T=7.135
Iter 194: loss=0.00325, precip=1.500, T=7.120
Iter 195: loss=0.00290, precip=1.500, T=7.105
Iter 196: loss=0.00226, precip=1.500, T=7.093
Iter 197: loss=0.00199, precip=1.500, T=7.081
Iter 198: loss=0.00168, precip=1.500, T=7.070
Iter 199: loss=0.00145, precip=1.500, T=7.060
Iter 200: loss=0.00121, precip=1.500, T=7.051
Iter 201: loss=0.00099, precip=1.500, T=7.035
Iter 202: loss=0.00056, precip=1.500, T=7.015
Iter 203: loss=0.00034, precip=1.500, T=6.996
