Iter 1: loss=0.155, precip=0.250, T=7.950
Iter 2: loss=0.144, precip=0.287, T=7.914
Iter 3: loss=0.136, precip=0.328, T=7.875
Iter 4: loss=0.128, precip=0.362, T=7.842
Iter 5: loss=0.122, precip=0.399, T=7.805
Iter 6: loss=0.116, precip=0.430, T=7.773
Iter 7: loss=0.110, precip=0.458, T=7.745
Iter 8: loss=0.104, precip=0.489, T=7.714
Iter 9: loss=0.098, precip=0.516, T=7.686
Iter 10: loss=0.092, precip=0.545, T=7.656
Iter 11: loss=0.087, precip=0.571, T=7.629
Iter 12: loss=0.084, precip=0.595, T=7.605
Iter 13: loss=0.080, precip=0.616, T=7.583
Iter 14: loss=0.077, precip=0.635, T=7.563
Iter 15: loss=0.075, precip=0.653, T=7.545
Iter 16: loss=0.073, precip=0.669, T=7.527
Iter 17: loss=0.071, precip=0.685, T=7.511
Iter 18: loss=0.069, precip=0.699, T=7.497
Iter 19: loss=0.067, precip=0.725, T=7.470
Iter 20: loss=0.065, precip=0.748, T=7.446
Iter 21: loss=0.062, precip=0.778, T=7.416
Iter 22: loss=0.059, precip=0.804, T=7.389
Iter 23: loss=0.056, precip=0.840, T=7.353
Iter 24: loss=0.052, precip=0.872, T=7.320
Iter 25: loss=0.049, precip=0.904, T=7.287
Iter 26: loss=0.045, precip=0.939, T=7.248
Iter 27: loss=0.041, precip=0.971, T=7.213
Iter 28: loss=0.038, precip=1.001, T=7.181
Iter 29: loss=0.035, precip=1.030, T=7.148
Iter 30: loss=0.032, precip=1.057, T=7.119
Iter 31: loss=0.030, precip=1.082, T=7.092
Iter 32: loss=0.028, precip=1.106, T=7.064
Iter 33: loss=0.026, precip=1.128, T=7.038
Iter 34: loss=0.024, precip=1.149, T=7.015
Iter 35: loss=0.022, precip=1.172, T=6.988
Iter 36: loss=0.020, precip=1.194, T=6.964
Iter 37: loss=0.018, precip=1.214, T=6.942
Iter 38: loss=0.016, precip=1.232, T=6.922
Iter 39: loss=0.014, precip=1.248, T=6.903
Iter 40: loss=0.013, precip=1.263, T=6.886
Iter 41: loss=0.011, precip=1.277, T=6.871
Iter 42: loss=0.010, precip=1.289, T=6.857
Iter 43: loss=0.009, precip=1.301, T=6.844
Iter 44: loss=0.008, precip=1.313, T=6.830
Iter 45: loss=0.008, precip=1.324, T=6.818
Iter 46: loss=0.006, precip=1.335, T=6.806
Iter 47: loss=0.006, precip=1.346, T=6.793
Iter 48: loss=0.005, precip=1.357, T=6.781
Iter 49: loss=0.004, precip=1.367, T=6.769
Iter 50: loss=0.003, precip=1.377, T=6.759
Iter 51: loss=0.002, precip=1.385, T=6.749
Iter 52: loss=0.001, precip=1.398, T=6.734
